Test ID,Suite,Description,priority ,Failure reason
lifecycle-container-poststart,lifecycle,"Ensure that the containers lifecycle postStart management feature is configured. A container must receive important events from the platform and conform/react to these events properly. For example, a container should catch SIGTERM or SIGKILL from the platform and shutdown as quickly as possible. Other typically important events from the platform are PostStart to initialize before servicing requests and PreStop to release resources cleanly before shutting down.",2,
lifecycle-container-prestop,lifecycle,"Ensure that the containers lifecycle preStop management feature is configured. The most basic requirement for the lifecycle management of Pods in OpenShift are the ability to start and stop correctly. There are different ways a pod can stop on an OpenShift cluster. One way is that the pod can remain alive but non-functional. Another way is that the pod can crash and become non-functional. When pods are shut down by the platform they are sent a SIGTERM signal which means that the process in the container should start shutting down, closing connections and stopping all activity. If the pod doesn’t shut down within the default 30 seconds then the platform may send a SIGKILL signal which will stop the pod immediately. This method isn’t as clean and the default time between the SIGTERM and SIGKILL messages can be modified based on the requirements of the application. Containers should respond to SIGTERM/SIGKILL with graceful shutdown.",2,"Container: Reason For Non Compliance=Container does not have preStop defined; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent Container: Reason For Non Compliance=Container does not have preStop defined; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent Container: Reason For Non Compliance=Container does not have preStop defined; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent Container: Reason For Non Compliance=Container does not have preStop defined; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent Container: Reason For Non Compliance=Container does not have preStop defined; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Container Name=agent Container: Reason For Non Compliance=Container does not have preStop defined; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Container Name=agent Log: [ERROR] [Apr 16 14:47:44.814] [suite.go: 257] [lifecycle-container-prestop] Container ""container: agent pod: nedr-agent-4pnr4 ns: nedr-agent"" does not have preStop defined [ERROR] [Apr 16 14:47:44.814] [suite.go: 257] [lifecycle-container-prestop] Container ""container: agent pod: nedr-agent-5wfwt ns: nedr-agent"" does not have preStop defined [ERROR] [Apr 16 14:47:44.814] [suite.go: 257] [lifecycle-container-prestop] Container ""container: agent pod: nedr-agent-6jqqt ns: nedr-agent"" does not have preStop defined [ERROR] [Apr 16 14:47:44.814] [suite.go: 257] [lifecycle-container-prestop] Container ""container: agent pod: nedr-agent-hrcdd ns: nedr-agent"" does not have preStop defined [ERROR] [Apr 16 14:47:44.814] [suite.go: 257] [lifecycle-container-prestop] Container ""container: agent pod: nedr-agent-ll4bf ns: nedr-agent"" does not have preStop defined [ERROR] [Apr 16 14:47:44.814] [suite.go: 257] [lifecycle-container-prestop] Container ""container: agent pod: nedr-agent-pnrjk ns: nedr-agent"" does not have preStop defined"
lifecycle-cpu-isolation,lifecycle,"CPU isolation requires: For each container within the pod, resource requests and limits must be identical. If cpu requests and limits are not identical and in whole units (Guaranteed pods with exclusive cpus), your pods will not be tested for compliance. The runTimeClassName must be specified. Annotations required disabling CPU and IRQ load-balancing.",2,
lifecycle-crd-scaling,lifecycle,"Tests that a workload's CRD support scale in/out operations. First, the test starts getting the current replicaCount (N) of the crd/s with the Pod Under Test. Then, it executes the scale-in oc command for (N-1) replicas. Lastly, it executes the scale-out oc command, restoring the original replicaCount of the crd/s. In case of crd that are managed by HPA the test is changing the min and max value to crd Replica - 1 during scale-in and the original replicaCount again for both min/max during the scale-out stage. Lastly its restoring the original min/max replica of the crd/s",2,
lifecycle-deployment-scaling,lifecycle,"Tests that workload deployments support scale in/out operations. First, the test starts getting the current replicaCount (N) of the deployment/s with the Pod Under Test. Then, it executes the scale-in oc command for (N-1) replicas. Lastly, it executes the scale-out oc command, restoring the original replicaCount of the deployment/s. In case of deployments that are managed by HPA the test is changing the min and max value to deployment Replica - 1 during scale-in and the original replicaCount again for both min/max during the scale-out stage. Lastly its restoring the original min/max replica of the deployment/s",2,
lifecycle-image-pull-policy,lifecycle,"Ensure that the containers under test are using IfNotPresent as Image Pull Policy. If there is a situation where the container dies and needs to be restarted, the image pull policy becomes important. PullIfNotPresent is recommended so that a loss of image registry access does not prevent the pod from restarting.",1,
lifecycle-liveness-probe,lifecycle,"Check that all containers under test have liveness probe defined. The most basic requirement for the lifecycle management of Pods in OpenShift are the ability to start and stop correctly. When starting up, health probes like liveness and readiness checks can be put into place to ensure the application is functioning properly.",2,
lifecycle-persistent-volume-reclaim-policy,lifecycle,Check that the persistent volumes the workloads pods are using have a reclaim policy of delete. Network Functions should clear persistent storage by deleting their PVs when removing their application from a cluster.,1,
lifecycle-pod-high-availability,lifecycle,Ensures that workloads Pods specify podAntiAffinity rules and replica value is set to more than 1.,2,
lifecycle-pod-owner-type,lifecycle,Tests that the workload Pods are deployed as part of a ReplicaSet(s)/StatefulSet(s).,2,"Pod: Reason For Non Compliance=Pod has non-compliant owner reference; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Pod has non-compliant owner reference; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Pod has non-compliant owner reference; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Pod has non-compliant owner reference; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=Pod has non-compliant owner reference; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=Pod has non-compliant owner reference; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:44.815] [ownerreference.go: 53] [lifecycle-pod-owner-type] Pod ""&Pod{ObjectMeta:{nedr-agent-4pnr4 nedr-agent- nedr-agent  3f0d017c-950a-4edc-a070-5fe887682710 21900998 0 2026-04-09 13:34:33 +0000 UTC <nil> <nil> map[app.kubernetes.io/instance:nedr-agent app.kubernetes.io/managed-by:Helm app.kubernetes.io/name:agent app.kubernetes.io/version:26.3.0-3921 controller-revision-hash:6879fb78f5 helm.sh/chart:agent-26.3.0-3921 nokia:underTest pod-template-generation:1] map[openshift.io/scc:nedr-agent-scc] [{apps/v1 DaemonSet nedr-agent 2934b2e6-85a7-4618-8ed6-7e42df94f018 0x97a222927f0 0x97a222927f1}] [] [{kube-controller-manager Update v1 2026-04-09 13:34:33 +0000 UTC FieldsV1 {\""f:metadata\"":{\""f:generateName\"":{},\""f:labels\"":{\"".\"":{},\""f:app.kubernetes.io/instance\"":{},\""f:app.kubernetes.io/managed-by\"":{},\""f:app.kubernetes.io/name\"":{},\""f:app.kubernetes.io/version\"":{},\""f:controller-revision-hash\"":{},\""f:helm.sh/chart\"":{},\""f:pod-template-generation\"":{}},\""f:ownerReferences\"":{\"".\"":{},\""k:{\\\""uid\\\"":\\\""2934b2e6-85a7-4618-8ed6-7e42df94f018\\\""}\"":{}}},\""f:spec\"":{\""f:affinity\"":{\"".\"":{},\""f:nodeAffinity\"":{\"".\"":{},\""f:requiredDuringSchedulingIgnoredDuringExecution\"":{}}},\""f:containers\"":{\""k:{\\\""name\\\"":\\\""agent\\\""}\"":{\"".\"":{},\""f:env\"":{\"".\"":{},\""k:{\\\""name\\\"":\\\""NEDR_AGENT_GROUPS\\\""}\"":{\"".\"":{},\""f:name\"":{},\""f:value\"":{}},\""k:{\\\""name\\\"":\\\""NEDR_AGENT_NAME\\\""}\"":{\"".\"":{},\""f:name\"":{},\""f:value\"":{}},\""k:{\\\""name\\\"":\\\""NEDR_CLIENT_KEYS_STORE_IN_SECRET\\\""}\"":{\"".\"":{},\""f:name\"":{},\""f:value\"":{}},\""k:{\\\""name\\\"":\\\""NEDR_MANAGER_IP\\\""}\"":{\"".\"":{},\""f:name\"":{},\""f:value\"":{}},\""k:{\\\""name\\\"":\\\""NODE_NAME\\\""}\"":{\"".\"":{},\""f:name\"":{},\""f:valueFrom\"":{\"".\"":{},\""f:fieldRef\"":{}}}},\""f:image\"":{},\""f:imagePullPolicy\"":{},\""f:lifecycle\"":{\"".\"":{},\""f:postStart\"":{\"".\"":{},\""f:exec\"":{\"".\"":{},\""f:command\"":{}}}},\""f:livenessProbe\"":{\"".\"":{},\""f:exec\"":{\"".\"":{},\""f:command\"":{}},\""f:failureThreshold\"":{},\""f:initialDelaySeconds\"":{},\""f:periodSeconds\"":{},\""f:successThreshold\"":{},\""f:timeoutSeconds\"":{}},\""f:name\"":{},\""f:resources\"":{\"".\"":{},\""f:limits\"":{\"".\"":{},\""f:cpu\"":{},\""f:memory\"":{}},\""f:requests\"":{\"".\"":{},\""f:cpu\"":{},\""f:memory\"":{}}},\""f:securityContext\"":{\"".\"":{},\""f:readOnlyRootFilesystem\"":{},\""f:seLinuxOptions\"":{\"".\"":{},\""f:type\"":{}}},\""f:terminationMessagePath\"":{},\""f:terminationMessagePolicy\"":{},\""f:volumeMounts\"":{\"".\"":{},\""k:{\\\""mountPath\\\"":\\\""/etc/logrotate.d\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/etc/os-release\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{}},\""k:{\\\""mountPath\\\"":\\\""/etc/rocky-release\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{}},\""k:{\\\""mountPath\\\"":\\\""/host\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{}},\""k:{\\\""mountPath\\\"":\\\""/opt/nedr/run\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/lib/logrotate\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/lib/rpm\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/log\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/etc/\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/etc/agent-key.pem\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/etc/agent.pem\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/etc/local_internal_options.conf\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/etc/root-ca.pem\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:readOnly\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/logs\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/queue\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/tmp\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}},\""k:{\\\""mountPath\\\"":\\\""/var/ossec/var\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{},\""f:subPath\"":{}}}}},\""f:dnsPolicy\"":{},\""f:enableServiceLinks\"":{},\""f:hostIPC\"":{},\""f:hostNetwork\"":{},\""f:hostPID\"":{},\""f:initContainers\"":{\"".\"":{},\""k:{\\\""name\\\"":\\\""copy-startup-files\\\""}\"":{\"".\"":{},\""f:command\"":{},\""f:image\"":{},\""f:imagePullPolicy\"":{},\""f:name\"":{},\""f:resources\"":{\"".\"":{},\""f:limits\"":{\"".\"":{},\""f:cpu\"":{},\""f:memory\"":{}},\""f:requests\"":{\"".\"":{},\""f:cpu\"":{},\""f:memory\"":{}}},\""f:securityContext\"":{\"".\"":{},\""f:allowPrivilegeEscalation\"":{},\""f:capabilities\"":{\"".\"":{},\""f:add\"":{},\""f:drop\"":{}},\""f:readOnlyRootFilesystem\"":{}},\""f:terminationMessagePath\"":{},\""f:terminationMessagePolicy\"":{},\""f:volumeMounts\"":{\"".\"":{},\""k:{\\\""mountPath\\\"":\\\""/ossec-writable-dir\\\""}\"":{\"".\"":{},\""f:mountPath\"":{},\""f:name\"":{}}}}},\""f:restartPolicy\"":{},\""f:schedulerName\"":{},\""f:securityContext\"":{},\""f:serviceAccount\"":{},\""f:serviceAccountName\"":{},\""f:terminationGracePeriodSeconds\"":{},\""f:tolerations\"":{},\""f:volumes\"":{\"".\"":{},\""k:{\\\""name\\\"":\\\""agent-certs\\\""}\"":{\"".\"":{},\""f:name\"":{},\""f:secret\"":{\"".\"":{},\""f:defaultMode\"":{},\""f:secretName\"":{}}},\""k:{\\\""name\\\"":\\\""host-os-release\\\""}\"":{\"".\"":{},\""f:hostPath\"":{\"".\"":{},\""f:path\"":{},\""f:type\"":{}},\""f:name\"":{}},\""k:{\\\""name\\\"":\\\""host-release\\\""}\"":{\"".\"":{},\""f:hostPath\"":{\"".\"":{},\""f:path\"":{},\""f:type\"":{}},\""f:name\"":{}},\""k:{\\\""name\\\"":\\\""host-root\\\""}\"":{\"".\"":{},\""f:hostPath\"":{\"".\"":{},\""f:path\"":{},\""f:type\"":{}},\""f:name\"":{}},\""k:{\\\""name\\\"":\\\""host-rpm\\\""}\"":{\"".\"":{},\""f:hostPath\"":{\"".\"":{},\""f:path\"":{},\""f:type\"":{}},\""f:name\"":{}},\""k:{\\\""name\\\"":\\\""local-internal-options\\\""}\"":{\"".\"":{},\""f:configMap\"":{\"".\"":{},\""f:defaultMode\"":{},\""f:name\"":{}},\""f:name\"":{}},\""k:{\\\""name\\\"":\\\""nedr-runtime-volume\\\""}\"":{\"".\"":{},\""f:emptyDir\"":{\"".\"":{},\""f:sizeLimit\"":{}},\""f:name\"":{}}}}} } {kubelet Update v1 2026-04-09 13:34:41 +0000 UTC FieldsV1 {\""f:status\"":{\""f:conditions\"":{\""k:{\\\""type\\\"":\\\""ContainersReady\\\""}\"":{\"".\"":{},\""f:lastProbeTime\"":{},\""f:lastTransitionTime\"":{},\""f:status\"":{},\""f:type\"":{}},\""k:{\\\""type\\\"":\\\""Initialized\\\""}\"":{\"".\"":{},\""f:lastProbeTime\"":{},\""f:lastTransitionTime\"":{},\""f:status\"":{},\""f:type\"":{}},\""k:{\\\""type\\\"":\\\""PodReadyToStartContainers\\\""}\"":{\"".\"":{},\""f:lastProbeTime\"":{},\""f:lastTransitionTime\"":{},\""f:status\"":{},\""f:type\"":{}},\""k:{\\\""type\\\"":\\\""Ready\\\""}\"":{\"".\"":{},\""f:lastProbeTime\"":{},\""f:lastTransitionTime\"":{},\""f:status\"":{},\""f:type\"":{}}},\""f:containerStatuses\"":{},\""f:hostIP\"":{},\""f:hostIPs\"":{},\""f:initContainerStatuses\"":{},\""f:phase\"":{},\""f:podIP\"":{},\""f:podIPs\"":{\"".\"":{},\""k:{\\\""ip\\\"":\\\""10.32.187.229\\\""}\"":{\"".\"":{},\""f:ip\"":{}},\""k:{\\\""ip\\\"":\\\""2a00:8a00:4000:20c::87:be8\\\""}\"":{\"".\"":{},\""f:ip\"":{}}},\""f:startTime\"":{}}} status} {Mozilla Update v1 2026-04-15 20:44:52 +0000 UTC FieldsV1 {\""f:metadata\"":{\""f:labels\"":{\""f:nokia\"":{}}}} }]},Spec:PodSpec{Volumes:[]Volume{Volume{Name:nedr-runtime-volume,VolumeSource:VolumeSource{HostPath:nil,EmptyDir:&EmptyDirVolumeSource{Medium:,SizeLimit:1Gi,},GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:local-internal-options,VolumeSource:VolumeSource{HostPath:nil,EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:&ConfigMapVolumeSource{LocalObjectReference:LocalObjectReference{Name:nedr-agent-options,},Items:[]KeyToPath{},DefaultMode:*420,Optional:nil,},VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:agent-certs,VolumeSource:VolumeSource{HostPath:nil,EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:&SecretVolumeSource{SecretName:nedr-agent-cluster-tls,Items:[]KeyToPath{},DefaultMode:*420,Optional:nil,},NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:host-root,VolumeSource:VolumeSource{HostPath:&HostPathVolumeSource{Path:/,Type:*Directory,},EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:host-release,VolumeSource:VolumeSource{HostPath:&HostPathVolumeSource{Path:/etc/system-release,Type:*FileOrCreate,},EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:host-os-release,VolumeSource:VolumeSource{HostPath:&HostPathVolumeSource{Path:/etc/os-release,Type:*FileOrCreate,},EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:host-rpm,VolumeSource:VolumeSource{HostPath:&HostPathVolumeSource{Path:/var/lib/rpm,Type:*Directory,},EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:nil,StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},Volume{Name:kube-api-access-pd4d6,VolumeSource:VolumeSource{HostPath:nil,EmptyDir:nil,GCEPersistentDisk:nil,AWSElasticBlockStore:nil,GitRepo:nil,Secret:nil,NFS:nil,ISCSI:nil,Glusterfs:nil,PersistentVolumeClaim:nil,RBD:nil,FlexVolume:nil,Cinder:nil,CephFS:nil,Flocker:nil,DownwardAPI:nil,FC:nil,AzureFile:nil,ConfigMap:nil,VsphereVolume:nil,Quobyte:nil,AzureDisk:nil,PhotonPersistentDisk:nil,PortworxVolume:nil,ScaleIO:nil,Projected:&ProjectedVolumeSource{Sources:[]VolumeProjection{VolumeProjection{Secret:nil,DownwardAPI:nil,ConfigMap:nil,ServiceAccountToken:&ServiceAccountTokenProjection{Audience:,ExpirationSeconds:*3607,Path:token,},ClusterTrustBundle:nil,PodCertificate:nil,},VolumeProjection{Secret:nil,DownwardAPI:nil,ConfigMap:&ConfigMapProjection{LocalObjectReference:LocalObjectReference{Name:kube-root-ca.crt,},Items:[]KeyToPath{KeyToPath{Key:ca.crt,Path:ca.crt,Mode:nil,},},Optional:nil,},ServiceAccountToken:nil,ClusterTrustBundle:nil,PodCertificate:nil,},VolumeProjection{Secret:nil,DownwardAPI:&DownwardAPIProjection{Items:[]DownwardAPIVolumeFile{DownwardAPIVolumeFile{Path:namespace,FieldRef:&ObjectFieldSelector{APIVersion:v1,FieldPath:metadata.namespace,},ResourceFieldRef:nil,Mode:nil,},},},ConfigMap:nil,ServiceAccountToken:nil,ClusterTrustBundle:nil,PodCertificate:nil,},VolumeProjection{Secret:nil,DownwardAPI:nil,ConfigMap:&ConfigMapProjection{LocalObjectReference:LocalObjectReference{Name:openshift-service-ca.crt,},Items:[]KeyToPath{KeyToPath{Key:service-ca.crt,Path:service-ca.crt,Mode:nil,},},Optional:nil,},ServiceAccountToken:nil,ClusterTrustBundle:nil,PodCertificate:nil,},},DefaultMode:*420,},StorageOS:nil,CSI:nil,Ephemeral:nil,Image:nil,},},},Containers:[]Container{Container{Name:agent,Image:nedr-docker-candidates.repo-cache-fi.cci.nokia.net/nedr/nedr-agent:26.3.0-3921,Command:[],Args:[],WorkingDir:,Ports:[]ContainerPort{},Env:[]EnvVar{EnvVar{Name:NODE_NAME,Value:,ValueFrom:&EnvVarSource{FieldRef:&ObjectFieldSelector{APIVersion:v1,FieldPath:spec.nodeName,},ResourceFieldRef:nil,ConfigMapKeyRef:nil,SecretKeyRef:nil,FileKeyRef:nil,},},EnvVar{Name:NEDR_AGENT_NAME,Value:nedr-$(NODE_NAME),ValueFrom:nil,},EnvVar{Name:NEDR_AGENT_GROUPS,Value:default,containerized_agent,ValueFrom:nil,},EnvVar{Name:NEDR_MANAGER_IP,Value:vip1-int.nedr0006.dyn.nesc.nokia.net,ValueFrom:nil,},EnvVar{Name:NEDR_CLIENT_KEYS_STORE_IN_SECRET,Value:true,ValueFrom:nil,},},Resources:ResourceRequirements{Limits:ResourceList{cpu: {{500 -3} {<nil>} 500m DecimalSI},memory: {{268435456 0} {<nil>}  BinarySI},},Requests:ResourceList{cpu: {{500 -3} {<nil>} 500m DecimalSI},memory: {{268435456 0} {<nil>}  BinarySI},},Claims:[]ResourceClaim{},},VolumeMounts:[]VolumeMount{VolumeMount{Name:nedr-runtime-volume,ReadOnly:false,MountPath:/var/lib/logrotate,SubPath:logrotate,MountPropagation:nil,SubPathExpr:,RecursiveReadOnly:nil,},VolumeMount{Name:nedr-runtime-volume,ReadOnly:false,MountPath:/var/ossec/queue,SubPath:queue,MountPropagation:nil,SubPathExpr:,RecursiveReadOnly:nil,},VolumeMount{Name:nedr-runtime-volume,ReadOnly:false,MountPath:/var/ossec/…"
lifecycle-pod-recreation,lifecycle,"Tests that a workload is configured to support High Availability. First, this test cordons and drains a Node that hosts the workload Pod. Next, the test ensures that OpenShift can re-instantiate the Pod on another Node, and that the actual replica count matches the desired replica count.",2,
